2026-04-07 00:00:00,3
2026-04-07 03:00:00,1
2026-04-07 06:00:00,1
2026-04-07 09:00:00,1
2026-04-07 12:00:00,1
2026-04-07 15:00:00,3
2026-04-07 18:00:00,2
2026-04-07 21:00:00,2
2026-04-08 00:00:00,1
2026-04-08 03:00:00,1
2026-04-08 06:00:00,1
2026-04-08 09:00:00,2
2026-04-08 12:00:00,1
2026-04-08 15:00:00,2
2026-04-08 18:00:00,3
2026-04-08 21:00:00,2
2026-04-09 00:00:00,0
2026-04-09 03:00:00,1
2026-04-09 06:00:00,2
2026-04-09 09:00:00,1
2026-04-09 12:00:00,3
2026-04-09 15:00:00,2
2026-04-09 18:00:00,2
2026-04-09 21:00:00,2
2026-04-10 00:00:00,3
2026-04-10 03:00:00,2
2026-04-10 06:00:00,3
2026-04-10 09:00:00,2
2026-04-10 12:00:00,4
2026-04-10 15:00:00,4
2026-04-10 18:00:00,4
2026-04-10 21:00:00,1
2026-04-11 00:00:00,2
2026-04-11 03:00:00,3
2026-04-11 06:00:00,4
2026-04-11 09:00:00,4
2026-04-11 12:00:00,2
2026-04-11 15:00:00,2
2026-04-11 18:00:00,2
2026-04-11 21:00:00,0
2026-04-12 00:00:00,2
2026-04-12 03:00:00,2
2026-04-12 06:00:00,2
2026-04-12 09:00:00,2
2026-04-12 12:00:00,2
2026-04-12 15:00:00,2
2026-04-12 18:00:00,2
2026-04-12 21:00:00,2
2026-04-13 00:00:00,1
2026-04-13 03:00:00,1
2026-04-13 06:00:00,2
2026-04-13 09:00:00,1
2026-04-13 12:00:00,1
2026-04-13 15:00:00,1
2026-04-13 18:00:00,1
2026-04-13 21:00:00,1
2026-04-14 00:00:00,-1
